Species	Family	Order	Class	Body.mass	Flying	Diet	Method.category.mass	Method.category.flying	Method.category.diet	Surrogate.used.mass	Surrogate.name.mass	Surrogate.name.diet	Diet.by.whom	Source.bodymass	Source.flying	Source.diet
Cyanoramphus novaezelandiae	Columbidae	Columbiformes	Aves	92.525	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Cylindraspis indica	Testudinidae	Testudines	Reptilia	15294	0	3	Calculation	Morphology	Estimate + Literature	0			Heinen	Hansen, D. M., Donlan, C. J., Griffiths, C. J., & Campbell, K. J. (2010). Ecological history and latent conservation potential: large and giant tortoises as a model for taxon substitutions. Ecography, 33(2), 272-284.	Various images	21, 22, 23
Cylindraspis inepta	Testudinidae	Testudines	Reptilia	8196	0	3	Calculation	Morphology	Estimate + Literature	0			Heinen	"Arnold, E. N. (1979). Indian Ocean giant tortoises: their systematics and island adaptations. Philosophical Transactions of the Royal Society of London B: Biological Sciences, 286(1011), 127-145.; Hansen, D. M., Donlan, C. J., Griffiths, C. J., & Campbell"	Various images	21, 22, 23
Cylindraspis peltastes	Testudinidae	Testudines	Reptilia	3848	0	3	Calculation	Morphology	Estimate + Literature	0			Heinen	Hansen, D. M., Donlan, C. J., Griffiths, C. J., & Campbell, K. J. (2010). Ecological history and latent conservation potential: large and giant tortoises as a model for taxon substitutions. Ecography, 33(2), 272-284.	Various images	21, 22, 23
Cylindraspis triserrata	Testudinidae	Testudines	Reptilia	78524	0	3	Calculation	Morphology	Estimate + Literature	1	Cylindraspis vosmaeri		Heinen	"Austin, Jeremy J., and E. Nicholas Arnold. ""Ancient mitochondrial DNA and morphology elucidate an extinct island radiation of Indian Ocean giant tortoises (Cylindraspis)."" Proceedings of the Royal Society of London B: Biological Sciences 268.1485 (2001):"	Various images	21, 22, 23
Cylindraspis vosmaeri	Testudinidae	Testudines	Reptilia	78524	0	3	Calculation	Morphology	Estimate + Literature	0			Heinen	Hansen, D. M., Donlan, C. J., Griffiths, C. J., & Campbell, K. J. (2010). Ecological history and latent conservation potential: large and giant tortoises as a model for taxon substitutions. Ecography, 33(2), 272-284.	Various images	21, 22, 23
Dendroica petechia	Parulidae	Passeriformes	Aves	10.28333333	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Dicaeum aeneum	Dicaeidae	Passeriformes	Aves	9.25	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Dicaeum eximium	Dicaeidae	Passeriformes	Aves	7.9	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Dicaeum tristrami	Dicaeidae	Passeriformes	Aves	11.7	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Didunculus sp	Columbidae	Columbiformes	Aves	490	1	1	Estimate	Literature	Surrogate + Database	1	Didunculus strigirostris	Didunculus strigirostris	Heinen	"Steadman, David W. Extinction and biogeography of tropical Pacific birds. University of Chicago Press, 2006.; Baptista, L.F., Trail, P.W., Horblit, H.M., Kirwan, G.M. & Sharpe, C.J. (2016). Tooth-billed Pigeon (Didunculus strigirostris). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/54282 on 10 February 2016)."	Steadman, D. W., & Kirch, P. V. (1998). Biogeography and prehistoric exploitation of birds in the Mussau islands, Bismarck archipelago, Papua New Guinea. Emu, 98(1), 13-22.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Dobsonia anderseni	Pteropodidae	Chiroptera	Mammalia	212.3958	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Dobsonia"""		Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Dobsonia inermis	Pteropodidae	Chiroptera	Mammalia	149.5	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Dobsonia praedatrix	Pteropodidae	Chiroptera	Mammalia	188.683	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Drepanoptila holosericea	Columbidae	Columbiformes	Aves	215	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula aurorae	Columbidae	Columbiformes	Aves	509.7371795	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Ducula"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula bakeri	Columbidae	Columbiformes	Aves	394	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula bicolor	Columbidae	Columbiformes	Aves	440.6666667	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula brenchleyi	Columbidae	Columbiformes	Aves	380	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula finschii	Columbidae	Columbiformes	Aves	346	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula galeata	Columbidae	Columbiformes	Aves	509.7371795	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Ducula"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula goliath	Columbidae	Columbiformes	Aves	600	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula latrans	Columbidae	Columbiformes	Aves	509.7371795	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Ducula"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula melanochroa	Columbidae	Columbiformes	Aves	665	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula pacifica	Columbidae	Columbiformes	Aves	395	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula pistrinaria	Columbidae	Columbiformes	Aves	515	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula rubricera	Columbidae	Columbiformes	Aves	652	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula sp	Columbidae	Columbiformes	Aves	509.7371795	1	3	Genus mean, decided by Heinen	Genus mean	Genus mean	1	"Genus mean ""Ducula"""		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	"Genus ""Ducula"""	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Ducula spilorrhoa	Columbidae	Columbiformes	Aves	509.7371795	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Ducula"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Dysmorodrepanis munroi	Fringillidae	Passeriformes	Aves	27.59	1	2	Estimate + surrogate	Morphology	Database	1	Pseudonestor xanthophrys		Kissling	"James, Helen F., Richard L. Zusi, and Storrs L. Olson. ""Dysmorodrepanis munroi (Fringillidae: Drepanidini), a valid genus and species of Hawaiian finch."" Wilson Bull 101.2 (1989): 159-179.; James, Helen F., and Storrs L. Olson. ""Descriptions of thirty-two new species of birds from the Hawaiian Islands: Part II. Passeriformes."" Ornithological Monographs 46 (1991): 1-88.; Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton."	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Eclectus roratus	Psittacidae	Psittaciformes	Aves	486.5	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Eclectus sp	Psittacidae	Psittaciformes	Aves	500	1	2	Estimate	Literature	Surrogate + Database	1	Eclectus roratus	Eclectus roratus	Heinen	"Steadman, David W. Extinction and biogeography of tropical Pacific birds. University of Chicago Press, 2006.; Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton."	Steadman, D. W. (2006). A New Species of Extinct Parrot (Psittacidae: Eclectus) from Tonga and Vanuatu, South Pacific 1. Pacific Science, 60(1), 137-145.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Elaenia ridleyana	Tyrranidae	Passeriformes	Aves	33	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Erithacus rubecula	Turdidae	Passeriformes	Aves	17.7	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Erythrura cyaneovirens	Estrildidae	Passeriformes	Aves	13	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Erythrura pealii	Estrildidae	Passeriformes	Aves	14.425	1	1	Genus mean, decided by pe-existing database	Morphology	Estimate	1	"Genus mean ""Erythrura"""		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Erythrura trichroa	Estrildidae	Passeriformes	Aves	14.4	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Estrilda astrild	Estrildidae	Passeriformes	Aves	26.56666667	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Eudynamys scolopaceus	Cuculidae	Cuculiformes	Aves	196.8	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Eudynamys taitensis	Cuculidae	Passeriformes	Aves	117	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Foudia delloni	Ploceidae	Passeriformes	Aves	17.7	1	1	Surrogate	Morphology	Genus mean	1	Foudia rubra		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Foudia eminentissima	Ploceidae	Passeriformes	Aves	24.55	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Foudia flavicans	Ploceidae	Passeriformes	Aves	15.35	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Foudia rubra	Ploceidae	Passeriformes	Aves	17.7	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Foulehaio carunculatus	Meliphagidae	Passeriformes	Aves	37	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Fregilupus varius	Sturnidae	Passeriformes	Aves	69.2	1	1	Surrogate	Morphology	Database	1	Cinclocerthia gutturalis		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Fringilla coelebs	Fringillidae	Passeriformes	Aves	23.96666667	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallicolumba beccarii	Columbidae	Columbiformes	Aves	80.1	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallicolumba erythroptera	Columbidae	Columbiformes	Aves	113.5	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallicolumba ferruginea	Columbidae	Columbiformes	Aves	146.49	1	1	Genus mean, decided by Heinen	Morphology	Database	1	"Genus mean ""Gallicolumba"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallicolumba jobiensis	Columbidae	Columbiformes	Aves	135	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallicolumba longitarsus	Columbidae	Columbiformes	Aves	146.49	1	1	Genus mean, decided by Heinen	Morphology	Genus mean	1	"Genus mean ""Gallicolumba"""		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallicolumba nui	Columbidae	Columbiformes	Aves	146.49	1	1	Genus mean, decided by Heinen	Morphology	Genus mean	1	"Genus mean ""Gallicolumba"""		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallicolumba rufigula	Columbidae	Columbiformes	Aves	130	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallicolumba salamonis	Columbidae	Columbiformes	Aves	146.49	1	1	Genus mean, decided by Heinen	Morphology	Database	1	"Genus mean ""Gallicolumba"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallicolumba sanctaecrucis	Columbidae	Columbiformes	Aves	146.49	1	1	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Gallicolumba"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallicolumba stairi	Columbidae	Columbiformes	Aves	171	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallirallus immaculatus	Rallidae	Gruiformes	Aves	362.7916667	0	1	Surrogate	Literature	Genus mean	1	Gallirallus calayanensis, Gallirallus lafresnayanus, Gallirallus okinawae, Gallirallus owstoni, Gallirallus rovianae, Gallirallus striatus		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Steadman, D. W. (2006). Extinction and biogeography of tropical Pacific birds. University of Chicago Press.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallirallus lafresnayanus	Rallidae	Gruiformes	Aves	362.7916667	0	1	Surrogate	Literature	Estimate	1	Gallirallus calayanensis, Gallirallus lafresnayanus, Gallirallus okinawae, Gallirallus owstoni, Gallirallus rovianae, Gallirallus striatus		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Steadman, D. W. (2006). Extinction and biogeography of tropical Pacific birds. University of Chicago Press.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallirallus philippensis	Rallidae	Gruiformes	Aves	207.5	1	1	Database	Literature	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Steadman, D. W. (2006). Extinction and biogeography of tropical Pacific birds. University of Chicago Press.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallirallus ripleyi	Rallidae	Galliformes	Aves	362.7916667	0	1	Surrogate	Literature	Genus mean	1	Gallirallus calayanensis, Gallirallus lafresnayanus, Gallirallus okinawae, Gallirallus owstoni, Gallirallus rovianae, Gallirallus striatus		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Steadman, D. W. (2006). Extinction and biogeography of tropical Pacific birds. University of Chicago Press.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallirallus sp	Rallidae	Gruiformes	Aves	362.7916667	0	1	Surrogate	Literature	Genus mean	1	Gallirallus calayanensis, Gallirallus lafresnayanus, Gallirallus okinawae, Gallirallus owstoni, Gallirallus rovianae, Gallirallus striatus		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Steadman, D. W. (2006). Extinction and biogeography of tropical Pacific birds. University of Chicago Press.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallirallus sp.B	Rallidae	Gruiformes	Aves	362.7916667	0	1	Surrogate	Literature	Genus mean	1	Gallirallus calayanensis, Gallirallus lafresnayanus, Gallirallus okinawae, Gallirallus owstoni, Gallirallus rovianae, Gallirallus striatus		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Steadman, D. W. (2006). Extinction and biogeography of tropical Pacific birds. University of Chicago Press.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallirallus sylvestris	Rallidae	Gruiformes	Aves	496	0	1	Database	Literature	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Steadman, D. W. (2006). Extinction and biogeography of tropical Pacific birds. University of Chicago Press.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallirallus tertius	Rallidae	Gruiformes	Aves	362.7916667	0	1	Surrogate	Literature	Genus mean	1	Gallirallus calayanensis, Gallirallus lafresnayanus, Gallirallus okinawae, Gallirallus owstoni, Gallirallus rovianae, Gallirallus striatus		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Diamond, J. (1991). A new species of rail from the Solomon Islands and convergent evolution of insular flightlessness. The Auk, 108(3), 461-470.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallirallus woodfordi	Rallidae	Gruiformes	Aves	362.7916667	0	1	Surrogate	Literature	Genus mean	1	Gallirallus calayanensis, Gallirallus lafresnayanus, Gallirallus okinawae, Gallirallus owstoni, Gallirallus rovianae, Gallirallus striatus		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Diamond, J. (1991). A new species of rail from the Solomon Islands and convergent evolution of insular flightlessness. The Auk, 108(3), 461-470.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gallotia atlantica	Lacertidae	Squamata	Reptilia	12.8	0	2	Database	Morphology	Literature	0			Hansen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	19
Gallotia caesaris	Lacertidae	Squamata	Reptilia	27.69	0	2	Calculation	Morphology	Literature	0			Hansen	"Pérez-Méndez, N., Jordano, P., & Valido, A. (2015). Downsized mutualisms: Consequences of seed dispersers’ body-size reduction for early plant recruitment. Perspectives in Plant Ecology, Evolution and Systematics, 17(2), 151-159.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. The American Naturalist, 115(1), 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	19
Gallotia galloti	Lacertidae	Squamata	Reptilia	38.5	0	2	Database	Morphology	Literature	0			Hansen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	19
